TARGET,600m,3x400 average
96,71.5,50.0
97,72.25,50.5
98,73.0,51.0
99,73.75,51.5
100,74.5,52.0
101,75.25,52.5
102,76.0,53.0
103,76.75,53.5
104,77.5,54.0
105,78.25,54.5
106,79.0,55.0
107,79.75,55.5
108,80.5,56.0
109,81.25,56.5
110,82.0,57.0
111,82.75,57.5
112,83.5,58.0
113,84.25,58.5
114,85.0,59.0
115,85.75,59.5
116,86.5,60.0
117,87.25,60.5
118,88.0,61.0
119,88.75,61.5
120,89.5,62.0
121,90.25,62.5
122,91.0,63.0
123,91.75,63.5
124,92.5,64.0
125,93.25,64.5
126,94.0,65.0
127,94.75,65.5
128,95.5,66.0
129,96.25,66.5
130,97.0,67.0
131,97.75,67.5
132,98.5,68.0
133,99.25,68.5
134,100.0,69.0
135,100.75,69.5
136,101.5,70.0
137,102.25,70.5
138,103.0,71.0
139,103.75,71.5
140,104.5,72.0
141,105.25,72.5
142,106.0,73.0
143,106.75,73.5
144,107.5,74.0
145,108.25,74.5
146,109.0,75.0
147,109.75,75.5
148,110.5,76.0
149,111.25,76.5
150,112.0,77.0
151,112.75,77.5
152,113.5,78.0
153,114.25,78.5
154,115.0,79.0
155,115.75,79.5
156,116.5,80.0
157,117.25,80.5
158,118.0,81.0
159,118.75,81.5
160,119.5,82.0
161,120.25,82.5
162,121.0,83.0
163,121.75,83.5
164,122.5,84.0
165,123.25,84.5
166,124.0,85.0
167,124.75,85.5
168,125.5,86.0
169,126.25,86.5
170,127.0,87.0
171,127.75,87.5
172,128.5,88.0
173,129.25,88.5
174,130.0,89.0
175,130.75,89.5
176,131.5,90.0
177,132.25,90.5
178,133.0,91.0
179,133.75,91.5
180,134.5,92.0
181,135.25,92.5
182,136.0,93.0
183,136.75,93.5
184,137.5,94.0
185,138.25,94.5
186,139.0,95.0
187,139.75,95.5
188,140.5,96.0
189,141.25,96.5
190,142.0,97.0
191,142.75,97.5
192,143.5,98.0
193,144.25,98.5
194,145.0,99.0
195,145.75,99.5
196,146.5,100.0
197,147.25,100.5
198,148.0,101.0
199,148.75,101.5
200,149.5,102.0
201,150.25,102.5
202,151.0,103.0
203,151.75,103.5
204,152.5,104.0
205,153.25,104.5
206,154.0,105.0
207,154.75,105.5
208,155.5,106.0
209,156.25,106.5
210,157.0,107.0
211,157.75,107.5
212,158.5,108.0
213,159.25,108.5
214,160.0,109.0
215,160.75,109.5
216,161.5,110.0
217,162.25,110.5
218,163.0,111.0
219,163.75,111.5
220,164.5,112.0
221,165.25,112.5
222,166.0,113.0
223,166.75,113.5
224,167.5,114.0
225,168.25,114.5
226,169.0,115.0
227,169.75,115.5
228,170.5,116.0
229,171.25,116.5
230,172.0,117.0
231,172.75,117.5
232,173.5,118.0
233,174.25,118.5
234,175.0,119.0
235,175.75,119.5
236,176.5,120.0
237,177.25,120.5
238,178.0,121.0
239,178.75,121.5
